player_name,team_name,raw_position,role_group,age,age_group,minutes_played,minutes_group,performance_score,performance_percentile,performance_level,same_role_team_average,competition_status,main_same_role_player,main_same_role_minutes,main_same_role_performance_percentile,main_same_role_performance_level,is_main_same_role_player,is_blocked_by_main_player,main_player_underperforming,decision,explanation
Matz Sels,Nott'ham Forest,GK,Goalkeeper,32.0,Senior,3420,HighMinutes,0.4117611336032388,79.55,Good,0.4117611336032388,Competitive,Matz Sels,3420.0,79.55,Good,True,False,False,Keep,Matz Sels is classified as Keep because: High minutes and at least promising role-based performance.
Nathan Collins,Brentford,DF,Defender,23.0,Prime,3420,HighMinutes,0.4697368421052632,84.7,Good,0.32863303828044144,Competitive,Nathan Collins,3420.0,84.7,Good,True,False,False,Keep,Nathan Collins is classified as Keep because: High minutes and at least promising role-based performance.
David Raya,Arsenal,GK,Goalkeeper,28.0,Prime,3420,HighMinutes,0.4432793522267206,90.91,Good,0.4432793522267206,Competitive,David Raya,3420.0,90.91,Good,True,False,False,Keep,David Raya is classified as Keep because: High minutes and at least promising role-based performance.
Jordan Pickford,Everton,GK,Goalkeeper,30.0,Senior,3420,HighMinutes,0.4123481781376518,81.82,Good,0.4123481781376518,Competitive,Jordan Pickford,3420.0,81.82,Good,True,False,False,Keep,Jordan Pickford is classified as Keep because: High minutes and at least promising role-based performance.
Dean Henderson,Crystal Palace,GK,Goalkeeper,27.0,Prime,3420,HighMinutes,0.3693927125506073,61.36,Good,0.3693927125506073,Competitive,Dean Henderson,3420.0,61.36,Good,True,False,False,Keep,Dean Henderson is classified as Keep because: High minutes and at least promising role-based performance.
Bernd Leno,Fulham,GK,Goalkeeper,32.0,Senior,3420,HighMinutes,0.3603441295546559,54.55,Promising,0.3603441295546559,Competitive,Bernd Leno,3420.0,54.55,Promising,True,False,False,Keep,Bernd Leno is classified as Keep because: High minutes and at least promising role-based performance.
Bryan Mbeumo,Brentford,FW,Forward,24.0,Prime,3414,HighMinutes,0.5186001713685455,86.42,Good,0.44729235226646064,Competitive,Bryan Mbeumo,3414.0,86.42,Good,True,False,False,Keep,Bryan Mbeumo is classified as Keep because: High minutes and at least promising role-based performance.
Mohamed Salah,Liverpool,FW,Forward,32.0,Senior,3371,HighMinutes,1.0,100.0,Good,0.485871367814583,Competitive,Mohamed Salah,3371.0,100.0,Good,True,False,False,Keep,Mohamed Salah is classified as Keep because: High minutes and at least promising role-based performance.
Moisés Caicedo,Chelsea,"MF,DF",DefMidWingBack,22.0,Young,3351,HighMinutes,0.3613913818447464,62.07,Good,0.2643938562008416,Competitive,Moisés Caicedo,3351.0,62.07,Good,True,False,False,Keep,Moisés Caicedo is classified as Keep because: High minutes and at least promising role-based performance.
Max Kilman,West Ham,DF,Defender,27.0,Prime,3348,HighMinutes,0.4401881720430107,77.05,Good,0.32336264326057407,Competitive,Max Kilman,3348.0,77.05,Good,True,False,False,Keep,Max Kilman is classified as Keep because: High minutes and at least promising role-based performance.
Milos Kerkez,Bournemouth,DF,Defender,20.0,Young,3336,HighMinutes,0.2897574123989218,24.04,Poor,0.3776606216622093,Blocked,Milos Kerkez,3336.0,24.04,Poor,True,False,True,Monitor,"Milos Kerkez is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Dan Burn,Newcastle Utd,DF,Defender,32.0,Senior,3330,HighMinutes,0.3777027027027027,61.75,Good,0.37220444366285127,Competitive,Dan Burn,3330.0,61.75,Good,True,False,False,Keep,Dan Burn is classified as Keep because: High minutes and at least promising role-based performance.
Virgil van Dijk,Liverpool,DF,Defender,33.0,CriticalAge,3330,HighMinutes,0.3945945945945946,66.67,Good,0.32826199321863153,Competitive,Virgil van Dijk,3330.0,66.67,Good,True,False,False,Keep,Virgil van Dijk is classified as Keep because: High minutes and at least promising role-based performance.
Nikola Milenković,Nott'ham Forest,DF,Defender,26.0,Prime,3330,HighMinutes,0.4087837837837837,72.13,Good,0.503802498714699,Blocked,Nikola Milenković,3330.0,72.13,Good,True,False,False,Keep,Nikola Milenković is classified as Keep because: High minutes and at least promising role-based performance.
Joško Gvardiol,Manchester City,DF,Defender,22.0,Young,3277,HighMinutes,0.3255494505494506,41.53,Average,0.21356955368078248,Competitive,Joško Gvardiol,3277.0,41.53,Average,True,False,False,Monitor,"Joško Gvardiol is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Mark Flekken,Brentford,GK,Goalkeeper,31.0,Senior,3275,HighMinutes,0.3751859678782756,63.64,Good,0.35105452240067625,Competitive,Mark Flekken,3275.0,63.64,Good,True,False,False,Keep,Mark Flekken is classified as Keep because: High minutes and at least promising role-based performance.
Bruno Guimarães,Newcastle Utd,MF,Midfielder,26.0,Prime,3271,HighMinutes,0.3461414618439412,71.82,Good,0.2993343617438422,Competitive,Bruno Guimarães,3271.0,71.82,Good,True,False,False,Keep,Bruno Guimarães is classified as Keep because: High minutes and at least promising role-based performance.
Bart Verbruggen,Brighton,GK,Goalkeeper,21.0,Young,3240,HighMinutes,0.336025641025641,47.73,Average,0.4132051282051281,Blocked,Bart Verbruggen,3240.0,47.73,Average,True,False,False,Monitor,"Bart Verbruggen is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Daniel Muñoz,Crystal Palace,DF,Defender,28.0,Prime,3228,HighMinutes,0.3530640668523677,53.01,Promising,0.4543396399516732,Blocked,Daniel Muñoz,3228.0,53.01,Promising,True,False,False,Keep,Daniel Muñoz is classified as Keep because: High minutes and at least promising role-based performance.
Antoine Semenyo,Bournemouth,FW,Forward,24.0,Prime,3203,HighMinutes,0.3406949409983534,54.32,Promising,0.24099332248309155,Competitive,Antoine Semenyo,3203.0,54.32,Promising,True,False,False,Keep,Antoine Semenyo is classified as Keep because: High minutes and at least promising role-based performance.
Emiliano Martínez,Aston Villa,GK,Goalkeeper,31.0,Senior,3194,HighMinutes,0.3829360780065005,68.18,Good,0.3228141928494041,Competitive,Emiliano Martínez,3194.0,68.18,Good,True,False,False,Keep,Emiliano Martínez is classified as Keep because: High minutes and at least promising role-based performance.
Cole Palmer,Chelsea,"MF,FW",AttMidWinger,22.0,Young,3191,HighMinutes,0.3380281690140845,88.12,Good,0.2743245004086758,Competitive,Cole Palmer,3191.0,88.12,Good,True,False,False,Keep,Cole Palmer is classified as Keep because: High minutes and at least promising role-based performance.
Murillo,Nott'ham Forest,DF,Defender,22.0,Young,3188,HighMinutes,0.5374293785310734,95.08,Good,0.503802498714699,Competitive,Nikola Milenković,3330.0,72.13,Good,False,False,False,Keep,Murillo is classified as Keep because: High minutes and at least promising role-based performance.
Antonee Robinson,Fulham,DF,Defender,26.0,Prime,3167,HighMinutes,0.4055397727272727,68.85,Good,0.3956318427533217,Competitive,Antonee Robinson,3167.0,68.85,Good,True,False,False,Keep,Antonee Robinson is classified as Keep because: High minutes and at least promising role-based performance.
Ryan Gravenberch,Liverpool,MF,Midfielder,22.0,Young,3160,HighMinutes,0.3712953712953713,76.36,Good,0.3152223692405457,Competitive,Ryan Gravenberch,3160.0,76.36,Good,True,False,False,Keep,Ryan Gravenberch is classified as Keep because: High minutes and at least promising role-based performance.
Aaron Wan-Bissaka,West Ham,DF,Defender,26.0,Prime,3154,HighMinutes,0.3757142857142857,61.2,Good,0.32336264326057407,Competitive,Max Kilman,3348.0,77.05,Good,False,True,False,Keep,Aaron Wan-Bissaka is classified as Keep because: High minutes and at least promising role-based performance.
Levi Colwill,Chelsea,DF,Defender,21.0,Young,3149,HighMinutes,0.3021428571428571,29.51,Poor,0.29496966365505745,Competitive,Levi Colwill,3149.0,29.51,Poor,True,False,True,Monitor,"Levi Colwill is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Dara O'Shea,Ipswich Town,DF,Defender,25.0,Prime,3122,HighMinutes,0.4963976945244956,87.98,Good,0.34074415498568383,Competitive,Dara O'Shea,3122.0,87.98,Good,True,False,False,Keep,Dara O'Shea is classified as Keep because: High minutes and at least promising role-based performance.
Maxence Lacroix,Crystal Palace,DF,Defender,24.0,Prime,3116,HighMinutes,0.4956647398843931,87.43,Good,0.4543396399516732,Competitive,Daniel Muñoz,3228.0,53.01,Promising,False,False,False,Keep,Maxence Lacroix is classified as Keep because: High minutes and at least promising role-based performance.
Morgan Rogers,Aston Villa,"FW,MF",AttMidWinger,22.0,Young,3114,HighMinutes,0.2661849710982658,66.34,Good,0.16116245624208986,Competitive,Morgan Rogers,3114.0,66.34,Good,True,False,False,Keep,Morgan Rogers is classified as Keep because: High minutes and at least promising role-based performance.
Rayan Aït-Nouri,Wolves,DF,Defender,23.0,Prime,3109,HighMinutes,0.2717391304347826,18.58,Poor,0.35222676263934233,Blocked,Rayan Aït-Nouri,3109.0,18.58,Poor,True,False,True,Monitor,"Rayan Aït-Nouri is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Illia Zabarnyi,Bournemouth,DF,Defender,21.0,Young,3109,HighMinutes,0.408695652173913,71.58,Good,0.3776606216622093,Competitive,Milos Kerkez,3336.0,24.04,Poor,False,False,True,Keep,Illia Zabarnyi is classified as Keep because: High minutes and at least promising role-based performance.
Keane Lewis-Potter,Brentford,"DF,FW",WingBack,23.0,Prime,3093,HighMinutes,0.2541123085649461,35.71,Poor,0.2541123085649461,Competitive,Keane Lewis-Potter,3093.0,35.71,Poor,True,False,True,Monitor,"Keane Lewis-Potter is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
