player_name,team_name,raw_position,role_group,age,age_group,minutes_played,minutes_group,performance_level,performance_percentile,competition_status,decision,explanation
Virgil van Dijk,Liverpool,DF,Defender,33.0,CriticalAge,3330,HighMinutes,Good,66.67,Competitive,Keep,Virgil van Dijk is classified as Keep because: High minutes and at least promising role-based performance.
Ibrahima Konaté,Liverpool,DF,Defender,25.0,Prime,2560,HighMinutes,Promising,51.37,Competitive,Keep,Ibrahima Konaté is classified as Keep because: High minutes and at least promising role-based performance.
Mohamed Salah,Liverpool,FW,Forward,32.0,Senior,3371,HighMinutes,Good,100.0,Competitive,Keep,Mohamed Salah is classified as Keep because: High minutes and at least promising role-based performance.
Luis Díaz,Liverpool,FW,Forward,27.0,Prime,2399,HighMinutes,Good,82.72,Competitive,Keep,Luis Díaz is classified as Keep because: High minutes and at least promising role-based performance.
Cody Gakpo,Liverpool,FW,Forward,25.0,Prime,1935,HighMinutes,Good,81.48,Blocked,Keep,Cody Gakpo is classified as Keep because: High minutes and at least promising role-based performance.
Alisson,Liverpool,GK,Goalkeeper,31.0,Senior,2508,HighMinutes,Good,86.36,Blocked,Keep,Alisson is classified as Keep because: High minutes and at least promising role-based performance.
Alexis Mac Allister,Liverpool,MF,Midfielder,25.0,Prime,2599,HighMinutes,Good,82.73,Competitive,Keep,Alexis Mac Allister is classified as Keep because: High minutes and at least promising role-based performance.
Ryan Gravenberch,Liverpool,MF,Midfielder,22.0,Young,3160,HighMinutes,Good,76.36,Competitive,Keep,Ryan Gravenberch is classified as Keep because: High minutes and at least promising role-based performance.
Dominik Szoboszlai,Liverpool,MF,Midfielder,23.0,Prime,2491,HighMinutes,Good,63.64,Competitive,Keep,Dominik Szoboszlai is classified as Keep because: High minutes and at least promising role-based performance.
Wataru Endo,Liverpool,"MF,DF",DefMidWingBack,31.0,Senior,273,LowMinutes,Good,82.76,Competitive,Give More Chances,"Wataru Endo is classified as Give More Chances because: Under 1800 minutes, promising or good performance, and competitive within the same role group."
Jarell Quansah,Liverpool,DF,Defender,21.0,Young,495,LowMinutes,Good,83.06,Competitive,Give More Chances,"Jarell Quansah is classified as Give More Chances because: Under 1800 minutes, promising or good performance, and competitive within the same role group."
Joe Gomez,Liverpool,DF,Defender,27.0,Prime,519,LowMinutes,Promising,57.92,Competitive,Give More Chances,"Joe Gomez is classified as Give More Chances because: Under 1800 minutes, promising or good performance, and competitive within the same role group."
Diogo Jota,Liverpool,FW,Forward,27.0,Prime,1196,MediumMinutes,Good,87.65,Competitive,Give More Chances,"Diogo Jota is classified as Give More Chances because: Under 1800 minutes, promising or good performance, and competitive within the same role group."
Vitezslav Jaros,Liverpool,GK,Goalkeeper,23.0,Prime,12,LowMinutes,Good,100.0,Competitive,Give More Chances,"Vitezslav Jaros is classified as Give More Chances because: Under 1800 minutes, promising or good performance, and competitive within the same role group."
Harvey Elliott,Liverpool,MF,Midfielder,21.0,Young,371,LowMinutes,Good,93.64,Competitive,Give More Chances,"Harvey Elliott is classified as Give More Chances because: Under 1800 minutes, promising or good performance, and competitive within the same role group."
Conor Bradley,Liverpool,DF,Defender,21.0,Young,754,LowMinutes,Poor,30.33,Blocked,Loan,Conor Bradley is classified as Loan because: Young player with low minutes and blocked by same-role teammates.
Jayden Danns,Liverpool,MF,Midfielder,18.0,Young,11,LowMinutes,Poor,6.36,Blocked,Loan,Jayden Danns is classified as Loan because: Young player with low minutes and blocked by same-role teammates.
Andrew Robertson,Liverpool,DF,Defender,30.0,Senior,2482,HighMinutes,Poor,7.65,Blocked,Sell,"Andrew Robertson is classified as Sell because: Regular minutes, poor role-based performance, and older than 29."
Curtis Jones,Liverpool,"MF,DF",DefMidWingBack,23.0,Prime,1712,MediumMinutes,Poor,17.24,Blocked,Monitor,"Curtis Jones is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Trent Alexander-Arnold,Liverpool,DF,Defender,25.0,Prime,2365,HighMinutes,Poor,21.31,Blocked,Monitor,"Trent Alexander-Arnold is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Kostas Tsimikas,Liverpool,DF,Defender,28.0,Prime,837,LowMinutes,Poor,19.67,Blocked,Monitor,"Kostas Tsimikas is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Darwin Núñez,Liverpool,FW,Forward,25.0,Prime,1133,MediumMinutes,Good,70.37,Blocked,Monitor,"Darwin Núñez is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Federico Chiesa,Liverpool,FW,Forward,26.0,Prime,108,LowMinutes,Poor,12.96,Blocked,Monitor,"Federico Chiesa is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
Caoimhín Kelleher,Liverpool,GK,Goalkeeper,25.0,Prime,900,MediumMinutes,Good,70.45,Blocked,Monitor,"Caoimhín Kelleher is classified as Monitor because: No strong keep, loan, sell, or give-more-chances rule was triggered."
